# Assembly name:  GRCh38.p14
# Description:    Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14)
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA31257
# Submitter:      Genome Reference Consortium
# Date:           2022-02-03
# Synonyms:       hg38	
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001405.29
# RefSeq assembly accession: GCF_000001405.40
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2	GCF_000001305.16	Primary Assembly
## GCA_000005045.27	GCF_000005045.26	PATCHES
## GCA_000001315.2	GCF_000001315.3	ALT_REF_LOCI_1
## GCA_000001325.2	GCF_000001325.3	ALT_REF_LOCI_2
## GCA_000001335.2	GCF_000001335.2	ALT_REF_LOCI_3
## GCA_000001345.2	GCF_000001345.2	ALT_REF_LOCI_4
## GCA_000001355.2	GCF_000001355.2	ALT_REF_LOCI_5
## GCA_000001365.2	GCF_000001365.3	ALT_REF_LOCI_6
## GCA_000001375.2	GCF_000001375.2	ALT_REF_LOCI_7
## GCA_000510225.1	GCF_000510225.1	ALT_REF_LOCI_8
## GCA_000510235.1	GCF_000510235.1	ALT_REF_LOCI_9
## GCA_000509915.1	GCF_000509915.1	ALT_REF_LOCI_10
## GCA_000509925.1	GCF_000509925.1	ALT_REF_LOCI_11
## GCA_000509935.1	GCF_000509935.1	ALT_REF_LOCI_12
## GCA_000509945.1	GCF_000509945.1	ALT_REF_LOCI_13
## GCA_000509955.1	GCF_000509955.1	ALT_REF_LOCI_14
## GCA_000509965.1	GCF_000509965.1	ALT_REF_LOCI_15
## GCA_000509975.1	GCF_000509975.1	ALT_REF_LOCI_16
## GCA_000509985.1	GCF_000509985.1	ALT_REF_LOCI_17
## GCA_000509995.1	GCF_000509995.1	ALT_REF_LOCI_18
## GCA_000510005.1	GCF_000510005.1	ALT_REF_LOCI_19
## GCA_000510015.1	GCF_000510015.1	ALT_REF_LOCI_20
## GCA_000510025.1	GCF_000510025.1	ALT_REF_LOCI_21
## GCA_000510035.1	GCF_000510035.1	ALT_REF_LOCI_22
## GCA_000510045.1	GCF_000510045.1	ALT_REF_LOCI_23
## GCA_000510055.1	GCF_000510055.1	ALT_REF_LOCI_24
## GCA_000510065.1	GCF_000510065.1	ALT_REF_LOCI_25
## GCA_000510075.1	GCF_000510075.1	ALT_REF_LOCI_26
## GCA_000510085.1	GCF_000510085.1	ALT_REF_LOCI_27
## GCA_000510095.1	GCF_000510095.1	ALT_REF_LOCI_28
## GCA_000510105.1	GCF_000510105.1	ALT_REF_LOCI_29
## GCA_000510125.1	GCF_000510125.1	ALT_REF_LOCI_30
## GCA_000510135.1	GCF_000510135.1	ALT_REF_LOCI_31
## GCA_000510145.1	GCF_000510145.1	ALT_REF_LOCI_32
## GCA_000510155.1	GCF_000510155.1	ALT_REF_LOCI_33
## GCA_000510165.1	GCF_000510165.1	ALT_REF_LOCI_34
## GCA_000510175.1	GCF_000510175.1	ALT_REF_LOCI_35
## GCA_000006015.1	GCF_000006015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
HSCHRUN_RANDOM_139	unplaced-scaffold	na	na	KI270511.1	=	NT_187435.1	Primary Assembly	8127	chrUn_KI270511v1
HSCHRUN_RANDOM_136	unplaced-scaffold	na	na	KI270512.1	=	NT_187432.1	Primary Assembly	22689	chrUn_KI270512v1
HSCHRUN_RANDOM_140	unplaced-scaffold	na	na	KI270515.1	=	NT_187436.1	Primary Assembly	6361	chrUn_KI270515v1
HSCHRUN_RANDOM_135	unplaced-scaffold	na	na	KI270516.1	=	NT_187431.1	Primary Assembly	1300	chrUn_KI270516v1
HSCHRUN_RANDOM_142	unplaced-scaffold	na	na	KI270517.1	=	NT_187438.1	Primary Assembly	3253	chrUn_KI270517v1
HSCHRUN_RANDOM_133	unplaced-scaffold	na	na	KI270518.1	=	NT_187429.1	Primary Assembly	2186	chrUn_KI270518v1
HSCHRUN_RANDOM_137	unplaced-scaffold	na	na	KI270519.1	=	NT_187433.1	Primary Assembly	138126	chrUn_KI270519v1
HSCHRUN_RANDOM_204	unplaced-scaffold	na	na	KI270521.1	=	NT_187496.1	Primary Assembly	7642	chrUn_KI270521v1
HSCHRUN_RANDOM_138	unplaced-scaffold	na	na	KI270522.1	=	NT_187434.1	Primary Assembly	5674	chrUn_KI270522v1
HSCHRUN_RANDOM_144	unplaced-scaffold	na	na	KI270528.1	=	NT_187440.1	Primary Assembly	2983	chrUn_KI270528v1
HSCHRUN_RANDOM_143	unplaced-scaffold	na	na	KI270529.1	=	NT_187439.1	Primary Assembly	1899	chrUn_KI270529v1
HSCHRUN_RANDOM_145	unplaced-scaffold	na	na	KI270530.1	=	NT_187441.1	Primary Assembly	2168	chrUn_KI270530v1
HSCHRUN_RANDOM_147	unplaced-scaffold	na	na	KI270538.1	=	NT_187443.1	Primary Assembly	91309	chrUn_KI270538v1
HSCHRUN_RANDOM_146	unplaced-scaffold	na	na	KI270539.1	=	NT_187442.1	Primary Assembly	993	chrUn_KI270539v1
HSCHRUN_RANDOM_148	unplaced-scaffold	na	na	KI270544.1	=	NT_187444.1	Primary Assembly	1202	chrUn_KI270544v1
HSCHRUN_RANDOM_149	unplaced-scaffold	na	na	KI270548.1	=	NT_187445.1	Primary Assembly	1599	chrUn_KI270548v1
HSCHRUN_RANDOM_158	unplaced-scaffold	na	na	KI270579.1	=	NT_187450.1	Primary Assembly	31033	chrUn_KI270579v1
HSCHRUN_RANDOM_156	unplaced-scaffold	na	na	KI270580.1	=	NT_187448.1	Primary Assembly	1553	chrUn_KI270580v1
HSCHRUN_RANDOM_157	unplaced-scaffold	na	na	KI270581.1	=	NT_187449.1	Primary Assembly	7046	chrUn_KI270581v1
HSCHRUN_RANDOM_162	unplaced-scaffold	na	na	KI270582.1	=	NT_187454.1	Primary Assembly	6504	chrUn_KI270582v1
HSCHRUN_RANDOM_154	unplaced-scaffold	na	na	KI270583.1	=	NT_187446.1	Primary Assembly	1400	chrUn_KI270583v1
HSCHRUN_RANDOM_161	unplaced-scaffold	na	na	KI270584.1	=	NT_187453.1	Primary Assembly	4513	chrUn_KI270584v1
HSCHRUN_RANDOM_155	unplaced-scaffold	na	na	KI270587.1	=	NT_187447.1	Primary Assembly	2969	chrUn_KI270587v1
HSCHRUN_RANDOM_163	unplaced-scaffold	na	na	KI270588.1	=	NT_187455.1	Primary Assembly	6158	chrUn_KI270588v1
HSCHRUN_RANDOM_159	unplaced-scaffold	na	na	KI270589.1	=	NT_187451.1	Primary Assembly	44474	chrUn_KI270589v1
HSCHRUN_RANDOM_160	unplaced-scaffold	na	na	KI270590.1	=	NT_187452.1	Primary Assembly	4685	chrUn_KI270590v1
HSCHRUN_RANDOM_165	unplaced-scaffold	na	na	KI270591.1	=	NT_187457.1	Primary Assembly	5796	chrUn_KI270591v1
HSCHRUN_RANDOM_164	unplaced-scaffold	na	na	KI270593.1	=	NT_187456.1	Primary Assembly	3041	chrUn_KI270593v1
HSCHRUN_RANDOM_CTG17	unplaced-scaffold	na	na	KI270741.1	=	NT_187497.1	Primary Assembly	157432	chrUn_KI270741v1
HSCHRUN_RANDOM_CTG42	unplaced-scaffold	na	na	KI270742.1	=	NT_187513.1	Primary Assembly	186739	chrUn_KI270742v1
HSCHRUN_RANDOM_CTG20	unplaced-scaffold	na	na	KI270743.1	=	NT_187498.1	Primary Assembly	210658	chrUn_KI270743v1
HSCHRUN_RANDOM_CTG21	unplaced-scaffold	na	na	KI270744.1	=	NT_187499.1	Primary Assembly	168472	chrUn_KI270744v1
HSCHRUN_RANDOM_CTG22	unplaced-scaffold	na	na	KI270745.1	=	NT_187500.1	Primary Assembly	41891	chrUn_KI270745v1
HSCHRUN_RANDOM_CTG23	unplaced-scaffold	na	na	KI270746.1	=	NT_187501.1	Primary Assembly	66486	chrUn_KI270746v1
HSCHRUN_RANDOM_CTG24	unplaced-scaffold	na	na	KI270747.1	=	NT_187502.1	Primary Assembly	198735	chrUn_KI270747v1
HSCHRUN_RANDOM_CTG25	unplaced-scaffold	na	na	KI270748.1	=	NT_187503.1	Primary Assembly	93321	chrUn_KI270748v1
HSCHRUN_RANDOM_CTG26	unplaced-scaffold	na	na	KI270749.1	=	NT_187504.1	Primary Assembly	158759	chrUn_KI270749v1
HSCHRUN_RANDOM_CTG27	unplaced-scaffold	na	na	KI270750.1	=	NT_187505.1	Primary Assembly	148850	chrUn_KI270750v1
HSCHRUN_RANDOM_CTG28	unplaced-scaffold	na	na	KI270751.1	=	NT_187506.1	Primary Assembly	150742	chrUn_KI270751v1
HSCHRUN_RANDOM_CTG29	unplaced-scaffold	na	na	KI270752.1	<>	na	Primary Assembly	27745	chrUn_KI270752v1
HSCHRUN_RANDOM_CTG30	unplaced-scaffold	na	na	KI270753.1	=	NT_187508.1	Primary Assembly	62944	chrUn_KI270753v1
HSCHRUN_RANDOM_CTG33	unplaced-scaffold	na	na	KI270754.1	=	NT_187509.1	Primary Assembly	40191	chrUn_KI270754v1
HSCHRUN_RANDOM_CTG34	unplaced-scaffold	na	na	KI270755.1	=	NT_187510.1	Primary Assembly	36723	chrUn_KI270755v1
HSCHRUN_RANDOM_CTG35	unplaced-scaffold	na	na	KI270756.1	=	NT_187511.1	Primary Assembly	79590	chrUn_KI270756v1
HSCHRUN_RANDOM_CTG36	unplaced-scaffold	na	na	KI270757.1	=	NT_187512.1	Primary Assembly	71251	chrUn_KI270757v1
HG986_PATCH	fix-patch	1	Chromosome	KN196472.1	=	NW_009646194.1	PATCHES	186494	chr1_KN196472v1_fix
HG2058_PATCH	fix-patch	1	Chromosome	KN196473.1	=	NW_009646195.1	PATCHES	166200	chr1_KN196473v1_fix
HG2104_PATCH	fix-patch	1	Chromosome	KN196474.1	=	NW_009646196.1	PATCHES	122022	chr1_KN196474v1_fix
HG1832_PATCH	fix-patch	1	Chromosome	KN538360.1	=	NW_011332687.1	PATCHES	460100	chr1_KN538360v1_fix
HG2095_PATCH	fix-patch	1	Chromosome	KN538361.1	=	NW_011332688.1	PATCHES	305542	chr1_KN538361v1_fix
HG1342_HG2282_PATCH	fix-patch	1	Chromosome	KQ031383.1	=	NW_012132914.1	PATCHES	467143	chr1_KQ031383v1_fix
HG2002_PATCH	fix-patch	1	Chromosome	KZ208906.1	=	NW_018654708.1	PATCHES	330031	chr1_KZ208906v1_fix
HG460_PATCH	fix-patch	1	Chromosome	KZ559100.1	=	NW_019805487.1	PATCHES	44955	chr1_KZ559100v1_fix
HG1343_HG173_HG459_PATCH	fix-patch	1	Chromosome	MU273333.1	=	NW_025791756.1	PATCHES	1572686	chr1_MU273333v1_fix
HG2571_PATCH	fix-patch	1	Chromosome	MU273334.1	=	NW_025791757.1	PATCHES	210426	chr1_MU273334v1_fix
HG2515_PATCH	fix-patch	1	Chromosome	MU273335.1	=	NW_025791758.1	PATCHES	211934	chr1_MU273335v1_fix
HG2577_PATCH	fix-patch	1	Chromosome	MU273336.1	=	NW_025791759.1	PATCHES	250447	chr1_MU273336v1_fix
HSCHR1_3_CTG3	novel-patch	1	Chromosome	KQ458382.1	=	NW_014040925.1	PATCHES	141019	chr1_KQ458382v1_alt
HSCHR1_4_CTG3	novel-patch	1	Chromosome	KQ458383.1	=	NW_014040926.1	PATCHES	349938	chr1_KQ458383v1_alt
HSCHR1_5_CTG32_1	novel-patch	1	Chromosome	KQ458384.1	=	NW_014040927.1	PATCHES	212205	chr1_KQ458384v1_alt
HSCHR1_5_CTG3	novel-patch	1	Chromosome	KQ983255.1	=	NW_015495298.1	PATCHES	278659	chr1_KQ983255v1_alt
HSCHR1_6_CTG3	novel-patch	1	Chromosome	KV880763.1	=	NW_017852928.1	PATCHES	551020	chr1_KV880763v1_alt
HSCHR1_8_CTG3	novel-patch	1	Chromosome	KZ208904.1	=	NW_018654706.1	PATCHES	166136	chr1_KZ208904v1_alt
HSCHR1_9_CTG3	novel-patch	1	Chromosome	KZ208905.1	=	NW_018654707.1	PATCHES	140355	chr1_KZ208905v1_alt
HSCHR1_12_CTG3	novel-patch	1	Chromosome	MU273330.1	=	NW_025791753.1	PATCHES	516764	chr1_MU273330v1_alt
HSCHR1_5_CTG31	novel-patch	1	Chromosome	MU273331.1	=	NW_025791754.1	PATCHES	847441	chr1_MU273331v1_alt
HSCHR1_6_CTG31	novel-patch	1	Chromosome	MU273332.1	=	NW_025791755.1	PATCHES	335159	chr1_MU273332v1_alt
HG2233_PATCH	fix-patch	2	Chromosome	KN538362.1	=	NW_011332689.1	PATCHES	208149	chr2_KN538362v1_fix
HG2232_PATCH	fix-patch	2	Chromosome	KN538363.1	=	NW_011332690.1	PATCHES	365499	chr2_KN538363v1_fix
HG2290_PATCH	fix-patch	2	Chromosome	KQ031384.1	=	NW_012132915.1	PATCHES	481245	chr2_KQ031384v1_fix
HG721_PATCH	fix-patch	2	Chromosome	ML143341.1	=	NW_021159987.1	PATCHES	145975	chr2_ML143341v1_fix
HG1384_PATCH	fix-patch	2	Chromosome	ML143342.1	=	NW_021159988.1	PATCHES	84043	chr2_ML143342v1_fix
HG2494_PATCH	fix-patch	2	Chromosome	MU273341.1	=	NW_025791764.1	PATCHES	120381	chr2_MU273341v1_fix
HG2275_PATCH	fix-patch	2	Chromosome	MU273342.1	=	NW_025791765.1	PATCHES	955087	chr2_MU273342v1_fix
HG2052_PATCH	fix-patch	2	Chromosome	MU273343.1	=	NW_025791766.1	PATCHES	489404	chr2_MU273343v1_fix
HG2231_HG2496_PATCH	fix-patch	2	Chromosome	MU273344.1	=	NW_025791767.1	PATCHES	244725	chr2_MU273344v1_fix
HG2140_PATCH	fix-patch	2	Chromosome	MU273345.1	=	NW_025791768.1	PATCHES	174385	chr2_MU273345v1_fix
HSCHR2_6_CTG7_2	novel-patch	2	Chromosome	KQ983256.1	=	NW_015495299.1	PATCHES	535088	chr2_KQ983256v1_alt
HSCHR2_7_CTG7_2	novel-patch	2	Chromosome	KZ208907.1	=	NW_018654709.1	PATCHES	181658	chr2_KZ208907v1_alt
HSCHR2_8_CTG7_2	novel-patch	2	Chromosome	KZ208908.1	=	NW_018654710.1	PATCHES	140361	chr2_KZ208908v1_alt
HSCHR2_10_CTG7_2	novel-patch	2	Chromosome	MU273337.1	=	NW_025791760.1	PATCHES	431782	chr2_MU273337v1_alt
HSCHR2_11_CTG7_2	novel-patch	2	Chromosome	MU273338.1	=	NW_025791761.1	PATCHES	535251	chr2_MU273338v1_alt
HSCHR2_12_CTG7_2	novel-patch	2	Chromosome	MU273339.1	=	NW_025791762.1	PATCHES	500581	chr2_MU273339v1_alt
HSCHR2_6_CTG1	novel-patch	2	Chromosome	MU273340.1	=	NW_025791763.1	PATCHES	284971	chr2_MU273340v1_alt
HG2066_PATCH	fix-patch	3	Chromosome	KN196475.1	=	NW_009646197.1	PATCHES	451168	chr3_KN196475v1_fix
HG2022_PATCH	fix-patch	3	Chromosome	KN196476.1	=	NW_009646198.1	PATCHES	305979	chr3_KN196476v1_fix
HG126_PATCH	fix-patch	3	Chromosome	KN538364.1	=	NW_011332691.1	PATCHES	415308	chr3_KN538364v1_fix
HG2235_PATCH	fix-patch	3	Chromosome	KQ031385.1	=	NW_012132916.1	PATCHES	373699	chr3_KQ031385v1_fix
HG2237_PATCH	fix-patch	3	Chromosome	KQ031386.1	=	NW_012132917.1	PATCHES	165718	chr3_KQ031386v1_fix
HG2236_PATCH	fix-patch	3	Chromosome	KV766192.1	=	NW_017363813.1	PATCHES	411654	chr3_KV766192v1_fix
HG2133_PATCH	fix-patch	3	Chromosome	KZ559104.1	=	NW_019805491.1	PATCHES	105527	chr3_KZ559104v1_fix
HG2264_PATCH	fix-patch	3	Chromosome	MU273346.1	=	NW_025791769.1	PATCHES	469342	chr3_MU273346v1_fix
HG2077_PATCH	fix-patch	3	Chromosome	MU273347.1	=	NW_025791770.1	PATCHES	301310	chr3_MU273347v1_fix
HG2069_PATCH	fix-patch	3	Chromosome	MU273348.1	=	NW_025791771.1	PATCHES	475876	chr3_MU273348v1_fix
HSCHR3_4_CTG1	novel-patch	3	Chromosome	KZ208909.1	=	NW_018654711.1	PATCHES	175849	chr3_KZ208909v1_alt
HSCHR3_7_CTG2_1	novel-patch	3	Chromosome	KZ559101.1	=	NW_019805488.1	PATCHES	164041	chr3_KZ559101v1_alt
HSCHR3_8_CTG2_1	novel-patch	3	Chromosome	KZ559102.1	=	NW_019805489.1	PATCHES	197752	chr3_KZ559102v1_alt
HSCHR3_9_CTG2_1	novel-patch	3	Chromosome	KZ559103.1	=	NW_019805490.1	PATCHES	302885	chr3_KZ559103v1_alt
HSCHR3_6_CTG2_1	novel-patch	3	Chromosome	KZ559105.1	=	NW_019805492.1	PATCHES	195063	chr3_KZ559105v1_alt
HSCHR3_5_CTG1	novel-patch	3	Chromosome	ML143343.1	=	NW_021159989.1	PATCHES	215443	chr3_ML143343v1_alt
HG2023_PATCH	fix-patch	4	Chromosome	KQ983257.1	=	NW_015495300.1	PATCHES	230434	chr4_KQ983257v1_fix
HG699_PATCH	fix-patch	4	Chromosome	ML143344.1	=	NW_021159990.1	PATCHES	235734	chr4_ML143344v1_fix
HG2525_PATCH	fix-patch	4	Chromosome	ML143345.1	=	NW_021159991.1	PATCHES	341066	chr4_ML143345v1_fix
HG1299_PATCH	fix-patch	4	Chromosome	ML143346.1	=	NW_021159992.1	PATCHES	53476	chr4_ML143346v1_fix
HG1298_PATCH	fix-patch	4	Chromosome	ML143347.1	=	NW_021159993.1	PATCHES	176674	chr4_ML143347v1_fix
HG1296_PATCH	fix-patch	4	Chromosome	ML143348.1	=	NW_021159994.1	PATCHES	125549	chr4_ML143348v1_fix
HG705_PATCH	fix-patch	4	Chromosome	ML143349.1	=	NW_021159995.1	PATCHES	276109	chr4_ML143349v1_fix
HG2155_PATCH	fix-patch	4	Chromosome	MU273350.1	=	NW_025791773.1	PATCHES	113364	chr4_MU273350v1_fix
HG287_PATCH	fix-patch	4	Chromosome	MU273351.1	=	NW_025791774.1	PATCHES	205691	chr4_MU273351v1_fix
HSCHR4_2_CTG4	novel-patch	4	Chromosome	KQ090013.1	=	NW_013171799.1	PATCHES	90922	chr4_KQ090013v1_alt
HSCHR4_8_CTG12	novel-patch	4	Chromosome	KQ090014.1	=	NW_013171800.1	PATCHES	163749	chr4_KQ090014v1_alt
HSCHR4_9_CTG12	novel-patch	4	Chromosome	KQ090015.1	=	NW_013171801.1	PATCHES	236512	chr4_KQ090015v1_alt
HSCHR4_11_CTG12	novel-patch	4	Chromosome	KQ983258.1	=	NW_015495301.1	PATCHES	205407	chr4_KQ983258v1_alt
HSCHR4_12_CTG12	novel-patch	4	Chromosome	KV766193.1	=	NW_017363814.1	PATCHES	420675	chr4_KV766193v1_alt
HSCHR4_2_CTG8_1	novel-patch	4	Chromosome	MU273349.1	=	NW_025791772.1	PATCHES	308682	chr4_MU273349v1_alt
HG30_PATCH	fix-patch	5	Chromosome	KV575244.1	=	NW_016107298.1	PATCHES	673059	chr5_KV575244v1_fix
HG1395_PATCH	fix-patch	5	Chromosome	ML143350.1	=	NW_021159996.1	PATCHES	89956	chr5_ML143350v1_fix
HG1046_PATCH	fix-patch	5	Chromosome	MU273352.1	=	NW_025791775.1	PATCHES	34400	chr5_MU273352v1_fix
HG2476_PATCH	fix-patch	5	Chromosome	MU273353.1	=	NW_025791776.1	PATCHES	208405	chr5_MU273353v1_fix
HG2405_PATCH	fix-patch	5	Chromosome	MU273354.1	=	NW_025791777.1	PATCHES	2101585	chr5_MU273354v1_fix
HG2308_PATCH	fix-patch	5	Chromosome	MU273355.1	=	NW_025791778.1	PATCHES	508332	chr5_MU273355v1_fix
HSCHR5_7_CTG1	novel-patch	5	Chromosome	KN196477.1	=	NW_009646199.1	PATCHES	139087	chr5_KN196477v1_alt
HSCHR5_8_CTG1	novel-patch	5	Chromosome	KV575243.1	=	NW_016107297.1	PATCHES	362221	chr5_KV575243v1_alt
HSCHR5_9_CTG1	novel-patch	5	Chromosome	KZ208910.1	=	NW_018654712.1	PATCHES	135987	chr5_KZ208910v1_alt
HSCHR5_10_CTG1	novel-patch	5	Chromosome	MU273356.1	=	NW_025791779.1	PATCHES	302485	chr5_MU273356v1_alt
HG2128_PATCH	fix-patch	6	Chromosome	KN196478.1	=	NW_009646200.1	PATCHES	268330	chr6_KN196478v1_fix
HG1651_PATCH	fix-patch	6	Chromosome	KQ031387.1	=	NW_012132918.1	PATCHES	320750	chr6_KQ031387v1_fix
HG2072_PATCH	fix-patch	6	Chromosome	KQ090016.1	=	NW_013171802.1	PATCHES	245716	chr6_KQ090016v1_fix
HG2121_PATCH	fix-patch	6	Chromosome	KV766194.1	=	NW_017363815.1	PATCHES	139427	chr6_KV766194v1_fix
HG2057_PATCH	fix-patch	6	Chromosome	KZ208911.1	=	NW_018654713.1	PATCHES	242796	chr6_KZ208911v1_fix
HG563_PATCH	fix-patch	6	Chromosome	ML143351.1	=	NW_021159997.1	PATCHES	73265	chr6_ML143351v1_fix
HSCHR6_1_CTG10	novel-patch	6	Chromosome	KQ090017.1	=	NW_013171803.1	PATCHES	82315	chr6_KQ090017v1_alt
HSCHR6_1_CTG1	novel-patch	6	Chromosome	MU273357.1	=	NW_025791780.1	PATCHES	383128	chr6_MU273357v1_alt
HG2239_PATCH	fix-patch	7	Chromosome	KQ031388.1	=	NW_012132919.1	PATCHES	179932	chr7_KQ031388v1_fix
HG2088_PATCH	fix-patch	7	Chromosome	KV880764.1	=	NW_017852929.1	PATCHES	142129	chr7_KV880764v1_fix
HG2266_PATCH	fix-patch	7	Chromosome	KV880765.1	=	NW_017852930.1	PATCHES	468267	chr7_KV880765v1_fix
HG708_PATCH	fix-patch	7	Chromosome	KZ208912.1	=	NW_018654714.1	PATCHES	589656	chr7_KZ208912v1_fix
HG1309_PATCH	fix-patch	7	Chromosome	ML143352.1	=	NW_021159998.1	PATCHES	254759	chr7_ML143352v1_fix
HSCHR7_3_CTG4_4	novel-patch	7	Chromosome	KZ208913.1	=	NW_018654715.1	PATCHES	680662	chr7_KZ208913v1_alt
HSCHR7_3_CTG1	novel-patch	7	Chromosome	KZ559106.1	=	NW_019805493.1	PATCHES	172555	chr7_KZ559106v1_alt
HSCHR7_4_CTG1	novel-patch	7	Chromosome	MU273358.1	=	NW_025791781.1	PATCHES	464417	chr7_MU273358v1_alt
HG2067_PATCH	fix-patch	8	Chromosome	KV880766.1	=	NW_017852931.1	PATCHES	156998	chr8_KV880766v1_fix
HG2068_PATCH	fix-patch	8	Chromosome	KV880767.1	=	NW_017852932.1	PATCHES	265876	chr8_KV880767v1_fix
HG2419_PATCH	fix-patch	8	Chromosome	KZ208914.1	=	NW_018654716.1	PATCHES	165120	chr8_KZ208914v1_fix
HG76_PATCH	fix-patch	8	Chromosome	KZ208915.1	=	NW_018654717.1	PATCHES	6367528	chr8_KZ208915v1_fix
HG2176_PATCH	fix-patch	8	Chromosome	MU273359.1	=	NW_025791782.1	PATCHES	150302	chr8_MU273359v1_fix
HG1047_PATCH	fix-patch	8	Chromosome	MU273360.1	=	NW_025791783.1	PATCHES	39290	chr8_MU273360v1_fix
HG2408_PATCH	fix-patch	8	Chromosome	MU273361.1	=	NW_025791784.1	PATCHES	106905	chr8_MU273361v1_fix
HG2267_PATCH	fix-patch	8	Chromosome	MU273362.1	=	NW_025791785.1	PATCHES	429744	chr8_MU273362v1_fix
HG2031_PATCH	fix-patch	8	Chromosome	MU273363.1	=	NW_025791786.1	PATCHES	207371	chr8_MU273363v1_fix
HSCHR8_7_CTG7	novel-patch	8	Chromosome	KZ559107.1	=	NW_019805494.1	PATCHES	103072	chr8_KZ559107v1_alt
HG2030_PATCH	fix-patch	9	Chromosome	KN196479.1	=	NW_009646201.1	PATCHES	330164	chr9_KN196479v1_fix
HG613_PATCH	fix-patch	9	Chromosome	ML143353.1	=	NW_021159999.1	PATCHES	25408	chr9_ML143353v1_fix
HG2158_PATCH	fix-patch	9	Chromosome	MU273364.1	=	NW_025791787.1	PATCHES	340717	chr9_MU273364v1_fix
HG1012_PATCH	fix-patch	9	Chromosome	MU273365.1	=	NW_025791788.1	PATCHES	482250	chr9_MU273365v1_fix
HG1206_PATCH	fix-patch	9	Chromosome	MU273366.1	=	NW_025791789.1	PATCHES	569668	chr9_MU273366v1_fix
HSCHR9_1_CTG6	novel-patch	9	Chromosome	KQ090018.1	=	NW_013171804.1	PATCHES	163882	chr9_KQ090018v1_alt
HSCHR9_1_CTG7	novel-patch	9	Chromosome	KQ090019.1	=	NW_013171805.1	PATCHES	134099	chr9_KQ090019v1_alt
HG2191_PATCH	fix-patch	10	Chromosome	KN196480.1	=	NW_009646202.1	PATCHES	277797	chr10_KN196480v1_fix
HG2241_PATCH	fix-patch	10	Chromosome	KN538365.1	=	NW_011332692.1	PATCHES	14347	chr10_KN538365v1_fix
HG2242_HG2243_PATCH	fix-patch	10	Chromosome	KN538366.1	=	NW_011332693.1	PATCHES	85284	chr10_KN538366v1_fix
HG2244_HG2245_PATCH	fix-patch	10	Chromosome	KN538367.1	=	NW_011332694.1	PATCHES	420164	chr10_KN538367v1_fix
HG2334_PATCH	fix-patch	10	Chromosome	KQ090021.1	=	NW_013171807.1	PATCHES	264545	chr10_KQ090021v1_fix
HG545_PATCH	fix-patch	10	Chromosome	ML143354.1	=	NW_021160000.1	PATCHES	454963	chr10_ML143354v1_fix
HG1277_PATCH	fix-patch	10	Chromosome	ML143355.1	=	NW_021160001.1	PATCHES	292944	chr10_ML143355v1_fix
HG2576_PATCH	fix-patch	10	Chromosome	MU273367.1	=	NW_025791790.1	PATCHES	196262	chr10_MU273367v1_fix
HSCHR10_1_CTG6	novel-patch	10	Chromosome	KQ090020.1	=	NW_013171806.1	PATCHES	185507	chr10_KQ090020v1_alt
HG2217_PATCH	fix-patch	11	Chromosome	KN196481.1	=	NW_009646203.1	PATCHES	108875	chr11_KN196481v1_fix
HG2116_PATCH	fix-patch	11	Chromosome	KQ090022.1	=	NW_013171808.1	PATCHES	181958	chr11_KQ090022v1_fix
HG107_HG2565_PATCH	fix-patch	11	Chromosome	KQ759759.2	=	NW_015148966.2	PATCHES	204999	chr11_KQ759759v2_fix
HG1708_PATCH	fix-patch	11	Chromosome	KV766195.1	=	NW_017363816.1	PATCHES	140877	chr11_KV766195v1_fix
HG2060_PATCH	fix-patch	11	Chromosome	KZ559108.1	=	NW_019805495.1	PATCHES	305244	chr11_KZ559108v1_fix
HG2114_PATCH	fix-patch	11	Chromosome	KZ559109.1	=	NW_019805496.1	PATCHES	279644	chr11_KZ559109v1_fix
HG1521_PATCH	fix-patch	11	Chromosome	ML143356.1	=	NW_021160002.1	PATCHES	45257	chr11_ML143356v1_fix
HG1445_PATCH	fix-patch	11	Chromosome	ML143357.1	=	NW_021160003.1	PATCHES	165419	chr11_ML143357v1_fix
HG28_PATCH	fix-patch	11	Chromosome	ML143358.1	=	NW_021160004.1	PATCHES	270122	chr11_ML143358v1_fix
HG2115_PATCH	fix-patch	11	Chromosome	ML143359.1	=	NW_021160005.1	PATCHES	217075	chr11_ML143359v1_fix
HG2111_PATCH	fix-patch	11	Chromosome	ML143360.1	=	NW_021160006.1	PATCHES	170928	chr11_ML143360v1_fix
